timestamp,eci x [m],eci y [m],eci z [m]
1735208713.5,-1674631.115360221,-4751516.041473369,4618218.012000634
1735208713.75,-1675367.2318351946,-4752606.404321433,4616833.584402838
1735208714.0,-1676103.217802158,-4753696.396949214,4615448.79614301
1735208714.25,-1676839.0732037425,-4754786.019271651,4614063.647329057
1735208714.5,-1677574.7979825488,-4755875.271203664,4612678.138069011
1735208714.75,-1678310.3920811692,-4756964.152660153,4611292.2684709625
1735208715.0,-1679045.8554422632,-4758052.663556154,4609906.038642926
1735208715.25,-1679781.1880085028,-4759140.80380672,4608519.448692931
1735208715.5,-1680516.3897225058,-4760228.573326843,4607132.498729171
1735208715.75,-1681251.460526812,-4761315.972031413,4605745.188860015
1735208716.0,-1681986.4003643154,-4762402.999835862,4604357.519193228
1735208716.25,-1682721.2091775436,-4763489.656655091,4602969.489837307
1735208716.5,-1683455.8869092653,-4764575.94240436,4601581.100900345
1735208716.75,-1684190.4335020634,-4765661.856998689,4600192.352490827
1735208717.0,-1684924.848898717,-4766747.400353391,4598803.244716915
1735208717.25,-1685659.1330419877,-4767832.572383764,4597413.77768686
1735208717.5,-1686393.285874572,-4768917.373005022,4596023.951509087
1735208717.75,-1687127.3073391963,-4770001.802132457,4594633.766291988
1735208718.0,-1687861.1973785912,-4771085.859681352,4593243.222144025
1735208718.25,-1688594.955935539,-4772169.545567105,4591852.31917359
1735208718.5,-1689328.5829528498,-4773252.859705156,4590461.057489071
1735208718.75,-1690062.0783732338,-4774335.802010809,4589069.437199103
1735208719.0,-1690795.442139519,-4775418.372399562,4587677.458412143
1735208719.25,-1691528.6741945448,-4776500.570786946,4586285.121236668
1735208719.5,-1692261.7744810754,-4777582.39708839,4584892.425781341
1735208719.75,-1692994.742941831,-4778663.851219274,4583499.37215497
1735208720.0,-1693727.5795198649,-4779744.933095484,4582105.960465779
1735208720.25,-1694460.284157863,-4780825.642632373,4580712.190822715
1735208720.5,-1695192.8567986882,-4781905.979745574,4579318.063334465
1735208720.75,-1695925.297385268,-4782985.944350829,4577923.578109615
1735208721.0,-1696657.6058604454,-4784065.536363767,4576528.735256982
1735208721.25,-1697389.782167103,-4785144.755700091,4575133.53488535
1735208721.5,-1698121.82624805,-4786223.602275411,4573737.977103664
1735208721.75,-1698853.7380463528,-4787302.076005723,4572342.062020477
1735208722.0,-1699585.5175048,-4788380.176806638,4570945.789744867
1735208722.25,-1700317.1645664035,-4789457.904594105,4569549.160385574
1735208722.5,-1701048.67917405,-4790535.259283897,4568152.174051599
1735208722.75,-1701780.061270616,-4791612.240791794,4566754.830852028
