timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735211804.912797,403,-672280.8759163874,-4955235.002680797,4840858.667335448,-0.019391739810642836,-0.8092989850847565,-0.40194700403584355,-0.4278241136434537
1735211805.037797,404,-672543.4833030966,-4955852.423809897,4840191.857369745,-0.019350560302549943,-0.8092961171318009,-0.4019125625324474,-0.42786375638370094
1735211805.162797,405,-672806.0906898058,-4956469.844938996,4839525.047404043,-0.01930938079445705,-0.8092932491788454,-0.40187812102905124,-0.42790339912394815
1735211805.287797,406,-673068.698076515,-4957087.266068095,4838858.237438341,-0.019268201286364157,-0.8092903812258898,-0.4018436795256551,-0.4279430418641954
1735211805.412797,407,-673331.3054632242,-4957704.687197195,4838191.427472639,-0.019227021778271264,-0.8092875132729342,-0.40180923802225893,-0.42798268460444266
1735211805.537797,408,-673593.9128499333,-4958322.108326294,4837524.617506937,-0.01918584227017837,-0.8092846453199787,-0.4017747965188628,-0.4280223273446899
1735211805.662797,409,-673856.5202366424,-4958939.5294553945,4836857.807541234,-0.019144662762085478,-0.8092817773670231,-0.4017403550154666,-0.4280619700849372
1735211805.787797,410,-674119.1276233516,-4959556.950584494,4836190.997575533,-0.01910348325399259,-0.8092789094140677,-0.40170591351207047,-0.42810161282518444
1735211805.912797,411,-674381.7350100608,-4960174.371713593,4835524.18760983,-0.019062303745899695,-0.8092760414611121,-0.4016714720086743,-0.4281412555654317
1735211806.037797,412,-674644.34239677,-4960791.792842693,4834857.377644128,-0.019021124237806802,-0.8092731735081565,-0.4016370305052781,-0.42818089830567896
1735211806.162797,413,-674906.9497834791,-4961409.213971792,4834190.567678425,-0.01897994472971391,-0.809270305555201,-0.40160258900188195,-0.4282205410459262
1735211806.287797,414,-675169.5571701883,-4962026.635100891,4833523.757712724,-0.018938765221621016,-0.8092674376022454,-0.4015681474984858,-0.4282601837861734
1735211806.412797,415,-675432.1645568975,-4962644.056229991,4832856.947747021,-0.018897585713528123,-0.8092645696492898,-0.40153370599508964,-0.4282998265264207
1735211806.537797,416,-675694.7719436067,-4963261.47735909,4832190.137781319,-0.01885640620543523,-0.8092617016963344,-0.4014992644916935,-0.42833946926666794
1735211806.662797,417,-675957.3793303159,-4963878.898488189,4831523.3278156165,-0.01881522669734234,-0.8092588337433788,-0.40146482298829733,-0.4283791120069152
1735211806.787797,418,-676219.986717025,-4964496.319617289,4830856.517849915,-0.018774047189249448,-0.8092559657904232,-0.4014303814849012,-0.42841875474716246
1735211806.912797,419,-676482.5941037341,-4965113.740746388,4830189.707884212,-0.018732867681156555,-0.8092530978374677,-0.401395939981505,-0.4284583974874097
1735211807.037797,420,-676745.2014904433,-4965731.161875487,4829522.89791851,-0.018691688173063662,-0.8092502298845121,-0.40136149847810887,-0.428498040227657
1735211807.162797,421,-677007.8088771525,-4966348.583004587,4828856.087952808,-0.01865050866497077,-0.8092473619315566,-0.4013270569747127,-0.42853768296790423
1735211807.287797,422,-677270.4162638617,-4966966.004133686,4828189.277987106,-0.018609329156877876,-0.809244493978601,-0.40129261547131656,-0.4285773257081515
